RuleId,Base,Keys,Reference,Support,LowCut,HighCut,LowTarget,MaleHigh,OOFAccuracy,FoldMean,FoldStd,PositivePredictions
R0076,gender,TicketNormalized,female_child16,1,0.0,1.0,female_master,master,0.8372615039281706,0.8329897683761218,0.023955261781929076,152
R0079,gender,TicketNormalized,female_child16,1,0.25,1.0,female,master,0.8372615039281706,0.8329897683761218,0.023955261781929076,152
R0082,gender,TicketNormalized,female_child16,1,0.25,1.0,female_master,master,0.8372615039281706,0.8329897683761218,0.023955261781929076,152
R0152,gender,UnionGroup,female_master,1,0.25,1.0,female,young,0.8372615039281706,0.8325403301738747,0.023230969996317408,150
R0155,gender,UnionGroup,female_master,1,0.25,1.0,female_master,young,0.8372615039281706,0.8325403301738747,0.023230969996317408,150
R0176,gender,UnionGroup,female_child16,1,0.25,1.0,female,young,0.8372615039281706,0.8325403301738747,0.023230969996317408,150
R0179,gender,UnionGroup,female_child16,1,0.25,1.0,female_master,young,0.8372615039281706,0.8325403301738747,0.023230969996317408,150
R0008,gender,FamilyID,female_master,1,0.25,1.0,female,young,0.8372615039281706,0.8311945263950787,0.02296131756463815,150
R0011,gender,FamilyID,female_master,1,0.25,1.0,female_master,young,0.8372615039281706,0.8311945263950787,0.02296131756463815,150
R0032,gender,FamilyID,female_child16,1,0.25,1.0,female,young,0.8372615039281706,0.8311945263950787,0.02296131756463815,150
R0035,gender,FamilyID,female_child16,1,0.25,1.0,female_master,young,0.8372615039281706,0.8311945263950787,0.02296131756463815,150
R0357,female_master,UnionGroup,female_master,2,0.25,1.0,female_master,none,0.8361391694725028,0.8343330613269725,0.024123443641365788,163
R0358,female_master,UnionGroup,female_master,2,0.25,1.0,female_master,master,0.8361391694725028,0.8343330613269725,0.024123443641365788,163
R0359,female_master,UnionGroup,female_master,2,0.25,1.0,female_master,young,0.8361391694725028,0.8343330613269725,0.024123443641365788,164
R0303,female_master,FamilyID+TicketNormalized,female_master,2,0.0,1.0,female_master,none,0.835016835016835,0.8347824995292197,0.024274603029732198,164
R0304,female_master,FamilyID+TicketNormalized,female_master,2,0.0,1.0,female_master,master,0.835016835016835,0.8347824995292197,0.024274603029732198,164
R0305,female_master,FamilyID+TicketNormalized,female_master,2,0.0,1.0,female_master,young,0.835016835016835,0.8347824995292197,0.024274603029732198,165
R0309,female_master,FamilyID+TicketNormalized,female_master,2,0.25,1.0,female_master,none,0.835016835016835,0.8347824995292197,0.024274603029732198,163
R0310,female_master,FamilyID+TicketNormalized,female_master,2,0.25,1.0,female_master,master,0.835016835016835,0.8347824995292197,0.024274603029732198,163
R0311,female_master,FamilyID+TicketNormalized,female_master,2,0.25,1.0,female_master,young,0.835016835016835,0.8347824995292197,0.024274603029732198,164
R0213,female_master,FamilyID,female_master,2,0.25,1.0,female_master,none,0.835016835016835,0.8341083422258488,0.02438325648291548,164
R0214,female_master,FamilyID,female_master,2,0.25,1.0,female_master,master,0.835016835016835,0.8341083422258488,0.02438325648291548,164
R0215,female_master,FamilyID,female_master,2,0.25,1.0,female_master,young,0.835016835016835,0.8341083422258488,0.02438325648291548,164
R0481,female_child12,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female,master,0.835016835016835,0.8316527524951353,0.02349139253759971,159
